                   Time-Weighted Stream Water Level Duration Analysis of Instantaneous Values.Interval 1 Days
Site,113006A,Tully River at Euramo,Site,113006A
Variable,100.00,Stream Water Level in Metres,,
Percentage of Time that Parameter was Equalled or Exceeded.,,,,
Period of Record 12/04/1972 to 12/03/2025,,,,

%,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,%
100,1.283,1.350,1.481,1.483,1.641,1.665,1.754,1.661,1.514,1.377,1.303,1.304,1.283,100
98,1.446,1.425,1.599,1.872,1.941,1.972,1.862,1.738,1.632,1.502,1.391,1.378,1.377,98
96,1.530,1.494,1.676,1.985,2.020,2.067,1.935,1.855,1.674,1.528,1.428,1.396,1.402,96
94,1.608,1.563,1.781,2.045,2.092,2.154,1.988,1.925,1.721,1.576,1.463,1.417,1.430,94
92,1.669,1.636,1.835,2.105,2.156,2.211,2.039,1.979,1.761,1.670,1.482,1.438,1.457,92
90,1.718,1.680,1.878,2.168,2.205,2.262,2.068,2.007,1.792,1.698,1.508,1.460,1.488,90
88,1.758,1.745,1.939,2.224,2.253,2.310,2.099,2.029,1.844,1.731,1.547,1.486,1.522,88
86,1.794,1.777,1.989,2.310,2.349,2.343,2.135,2.041,1.874,1.750,1.584,1.514,1.557,86
84,1.832,1.810,2.052,2.381,2.419,2.382,2.161,2.059,1.898,1.762,1.623,1.553,1.585,84
82,1.865,1.836,2.132,2.432,2.482,2.421,2.179,2.077,1.921,1.778,1.650,1.574,1.609,82
80,1.895,1.860,2.206,2.500,2.532,2.446,2.203,2.095,1.938,1.800,1.671,1.594,1.639,80
78,1.920,1.878,2.267,2.557,2.583,2.476,2.223,2.107,1.951,1.814,1.700,1.610,1.669,78
76,1.945,1.897,2.334,2.609,2.628,2.510,2.245,2.130,1.966,1.836,1.713,1.624,1.693,76
74,1.970,1.914,2.412,2.644,2.670,2.536,2.272,2.145,1.979,1.853,1.728,1.641,1.714,74
72,1.995,1.936,2.481,2.683,2.725,2.556,2.294,2.156,1.989,1.862,1.740,1.665,1.735,72
70,2.021,1.958,2.536,2.723,2.757,2.582,2.316,2.167,1.998,1.877,1.755,1.687,1.752,70
68,2.045,1.991,2.577,2.780,2.810,2.604,2.334,2.180,2.011,1.892,1.768,1.710,1.775,68
66,2.070,2.033,2.629,2.829,2.843,2.630,2.356,2.189,2.022,1.902,1.778,1.727,1.807,66
64,2.098,2.060,2.667,2.868,2.879,2.656,2.373,2.200,2.031,1.914,1.787,1.745,1.828,64
62,2.126,2.089,2.720,2.922,2.911,2.680,2.391,2.210,2.042,1.925,1.795,1.777,1.842,62
60,2.153,2.118,2.771,2.967,2.944,2.706,2.411,2.221,2.057,1.938,1.804,1.801,1.857,60
58,2.179,2.157,2.840,3.015,2.984,2.728,2.430,2.232,2.066,1.950,1.823,1.825,1.871,58
56,2.205,2.185,2.892,3.070,3.010,2.751,2.452,2.242,2.080,1.958,1.843,1.841,1.883,56
54,2.236,2.233,2.976,3.123,3.050,2.780,2.479,2.252,2.090,1.970,1.866,1.857,1.900,54
52,2.268,2.260,3.048,3.175,3.088,2.815,2.499,2.268,2.105,1.985,1.893,1.879,1.911,52
50,2.303,2.310,3.112,3.214,3.120,2.841,2.520,2.281,2.119,2.001,1.917,1.890,1.925,50
48,2.339,2.344,3.182,3.265,3.160,2.876,2.540,2.291,2.130,2.024,1.933,1.901,1.940,48
46,2.375,2.393,3.280,3.324,3.210,2.902,2.562,2.310,2.141,2.039,1.950,1.912,1.953,46
